%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
0.22,HAJI MOHAMMED IMAMUDDIN,JAIPUR,9,IND,M,RAJASTHAN,783,357974,351569,610124,58.67
71.91,NATHU SINGH,DAUSA,1,BLD,M,RAJASTHAN,236345,338872,328656,622623,54.43
22.19,NAWAL KISHORE SHARMA,DAUSA,2,INC,M,RAJASTHAN,72942,338872,328656,622623,54.43
2.88,NARESH CHANDER,DAUSA,3,IND,M,RAJASTHAN,9476,338872,328656,622623,54.43
1.11,DEVI SAHAI,DAUSA,4,IND,M,RAJASTHAN,3643,338872,328656,622623,54.43
0.8,MOOL CHAND,DAUSA,5,IND,M,RAJASTHAN,2640,338872,328656,622623,54.43
0.79,RAM SAHAI,DAUSA,6,IND,M,RAJASTHAN,2610,338872,328656,622623,54.43
0.3,ABDUL GAFFOOR,DAUSA,7,IND,M,RAJASTHAN,1000,338872,328656,622623,54.43
74.82,RAMJI LAL YADAV,ALWAR,1,BLD,M,RAJASTHAN,234151,318565,312957,570990,55.79
19.71,HARI PRASHAD,ALWAR,2,INC,M,RAJASTHAN,61673,318565,312957,570990,55.79
3.46,RATI RAM,ALWAR,3,CPI,M,RAJASTHAN,10823,318565,312957,570990,55.79
1.1,RAM SINGH,ALWAR,4,IND,M,RAJASTHAN,3442,318565,312957,570990,55.79
0.92,MOOL CHAND,ALWAR,5,IND,M,RAJASTHAN,2868,318565,312957,570990,55.79
70.6,RAM KISHAN,BHARATPUR,1,BLD,M,RAJASTHAN,256887,371713,363883,571485,65.04
27.59,RAJ BAHADUR,BHARATPUR,2,INC,M,RAJASTHAN,100398,371713,363883,571485,65.04
1.81,MAHENDRA SINGH,BHARATPUR,3,IND,M,RAJASTHAN,6598,371713,363883,571485,65.04
64.03,SHYAM SUNDER LAL,BAYANA (SC),1,BLD,M,RAJASTHAN,213862,342279,333979,595518,57.48
29.1,JAGANNATH PRASAD,BAYANA (SC),2,INC,M,RAJASTHAN,97174,342279,333979,595518,57.48
3.85,PARMOLI,BAYANA (SC),3,IND,M,RAJASTHAN,12842,342279,333979,595518,57.48
1.63,BALU RAM,BAYANA (SC),4,IND,M,RAJASTHAN,5442,342279,333979,595518,57.48
1.39,PYARE LAL,BAYANA (SC),5,IND,M,RAJASTHAN,4659,342279,333979,595518,57.48
